speed,current_engine_rpm,acceleration_magnitude,velocity_magnitude,tire_stress_front,tire_stress_rear,wheel_slip_magnitude_front,wheel_slip_magnitude_rear,avg_tire_temp,power,torque,boost,yaw,pitch,roll,steer,rpm_speed_ratio,gear,lap_number,race_position,current_lap_time
38.042923,4661.833,11.42223082649028,38.04292008186711,0.47392161499999996,2.10267615,0.4278505202983252,0.7832457,219.72093999999998,245889.67,502.19937,9.777396,-2.653501,0.009892332,-0.048729397,127,119.40276602753332,4,3,1,14.3763685
30.077383,7159.5273,5.9946577862537715,30.077383056515956,0.005339564,0.294460885,0.007093671813469594,0.44329676652683864,212.5151075,330093.62,440.77216,14.699979,1.6376837,0.047439847,0.003811552,0,230.3774194886358,2,4,1,101.20371
46.418858,5662.7974,12.491358416865358,46.4188527007459,0.854559385,0.564415185,0.022271428180012973,0.560932893691109,213.29923749999998,289152.84,487.55722,14.699979,-2.0722969,-0.003413787,-0.005534361,-116,119.42078824420446,4,4,1,13.926709
22.178915,3893.4172,10.826309694499956,22.178916640308266,0.5643601465,1.0086707,1.06795639774644,1.429645743468675,217.725405,150109.45,371.2727,-8.668613,-2.8068705,0.011992406,0.02619429,74,167.97236626477124,1,3,1,22.18488
40.088097,5155.407,7.0224821513382825,40.08809575098409,0.16334541,0.8073524999999999,0.005465036,1.1328311065471366,213.33717,284758.28,527.6181,14.699979,0.6088955,-0.020534396,-0.005348545,127,125.47203147422478,4,1,1,46.326855
34.471424,4324.741,8.962498021018545,34.471422092986884,1.4338153,1.039152,0.07966435570759335,0.8404513606286877,216.5458925,249512.16,551.1114,14.699843,1.7177935,0.05634039,0.043126818,19,121.92183206402991,4,1,1,51.385315
23.146036,3774.8423,10.886810889061222,23.146034570884925,1.04026802,0.7181176,0.00920816969890412,0.7491188300751803,208.9450875,101134.664,255.91922,11.2359,-0.27836046,-0.10884871,0.05239396,-127,156.3338305301955,3,0,1,62.103607
42.12502,6705.418,3.464389493134719,42.125020901060125,0.0030525415,0.26646417,0.002885394615669926,0.37723168656910633,210.296975,328781.84,468.299,14.699979,-2.2097168,-0.08996859,0.03136509,0,155.48788151286655,3,2,1,72.99565
32.942368,5177.7627,4.252350296148865,32.94236658356171,0.008099288999999999,0.21225466999999998,0.0045336989066580066,0.3004424961122138,212.18335000000002,281979.66,520.4352,13.873294,-1.3150605,-0.013772294,-0.010026868,0,152.5457121907346,3,1,1,28.768112
46.348206,5802.889,10.262333465864282,46.34820917062064,1.1601051500000001,0.7626161250000001,0.07325858223075166,0.8025720148351669,214.8087775,306424.28,504.6147,14.699979,-2.3253572,-0.001011539,-0.047886644,-76,122.55773745683206,4,2,1,15.252643
39.885822,6266.793,3.5343271901209263,39.885824501065976,0.014395525999999999,0.219971335,0.00445989657704862,0.3103606166991711,210.04796,319123.16,486.11145,14.699979,-2.1852393,-0.11300111,0.040527105,0,153.27545573132906,3,0,1,75.29558
51.6049,6214.2437,13.789583860350074,51.60490360081442,0.69523355,0.52160205,0.01991685900708525,0.3864466324180436,211.3180025,317762.6,488.33362,14.699979,-2.8348675,-0.00338246,0.025714776,28,118.13051065585145,4,4,1,148.09645
56.79125,6736.639,3.656608276658583,56.791247710289454,0.0730558775,0.14899844499999998,0.0048563244161898824,0.1939262355590272,211.82678499999997,329326.8,467.17047,14.699979,-2.3201418,-0.008490097,0.011092124,0,116.56849436549652,4,4,1,151.10487
29.764072,4912.21,12.839133920968978,29.764075053151174,0.34870568,0.942676225,0.05935532692720822,0.9611382395215482,213.6804125,275242.47,535.34985,14.69947,1.3171575,-0.004492557,0.032211885,0,159.67359587508443,3,1,1,125.678696
31.722555,6490.67,1.923537119103262,31.722552795946466,0.0030898975,0.055267904,0.003953143594333628,0.07728176508481803,212.7642775,-93683.16,-137.85167,-5.466402,-1.3152544,-0.023045378,-0.001071072,0,198.35462114740125,2,1,1,28.20143
53.240936,6111.3735,3.926305773844514,53.24094263108496,0.063884687,0.066618123,0.0017332107453016208,0.0208766815996729,209.62218500000003,-65041.71,-101.6083,12.740975,0.8227694,0.005707255,-0.024179451,0,112.6708709451474,4,2,1,131.61366
17.081732,2962.8416,12.30289376085684,17.081733062453043,1.37301615,1.4180131999999999,0.022201380246768893,1.1412180762881914,214.33766249999996,110255.7,351.66055,-3.3656511,-1.5235219,0.002539627,0.03575794,127,163.85828525718668,3,2,1,23.944511
28.166985,4607.1826,9.888145593526895,28.166983178573204,1.2871549,0.8097533,0.04972971437282843,0.8003150391429448,213.14700249999999,138630.8,287.5464,5.8321466,1.0456437,0.007617605,0.032381263,127,157.95882227799686,3,1,1,124.978676
43.233273,6745.9497,6.451935676920513,43.233274461007,0.25429834500000004,0.23505112,0.014068601728480125,0.2679057940876875,209.73201,329533.7,466.73862,14.699979,2.5210419,-0.009914024,-0.001695048,41,152.50849061067674,3,1,1,148.11255
38.368176,4705.4565,13.310158036503333,38.3681733844465,1.3765648,0.69226188,0.007107762634234278,0.5475767401304555,205.183685,152530.64,309.59854,-3.8197365,0.07891704,-0.07623781,-0.0500702,127,119.52437166507283,4,0,1,44.711533
21.077135,2545.2073,12.1796855143184,21.077132081917423,1.3056809999999999,0.7312510249999999,0.005172583709184898,0.4295484619283063,212.7279775,53416.523,200.30179,-7.5774684,0.3770079,0.002785036,0.030138124,127,115.28702886493198,4,3,1,99.795006
24.734873,5292.4277,8.0622909674377,24.73487138837035,0.684192415,0.24234213000000002,1.2602040128423282,0.34588076995337136,214.14517999999998,-59931.062,-108.46058,-10.310432,-2.8115673,0.010109559,0.0248274,127,205.65198437155684,2,4,1,20.993534
26.351095,6441.793,6.510856066355598,26.351096317603464,0.07048074,0.778402975,0.014903721650347942,1.135374496539261,211.96347500000002,322850.94,479.6897,14.699964,2.2818925,-0.00151222,0.010201196,0,235.52230724217804,2,0,1,146.59726
55.49566,6442.859,1.2579914999796173,55.495662206841594,0.1002650075,0.119833514,0.0020306901808281835,0.08339913787127218,209.25752749999998,133104.69,197.0892,13.748086,-1.3152192,-0.05494065,-0.07461169,84,114.04166266930947,4,2,1,38.228176
38.72572,4888.4927,11.5063773416383,38.72571915927119,0.606992145,1.3436424,1.0018888873103171,1.8851810839364211,216.6897575,-50877.113,-99.23574,-11.024985,-2.7696328,0.016482286,0.013623071,-32,123.05611326868335,3,3,1,20.701523
39.845688,4853.5977,12.82374932622718,39.845690012479196,1.2848259,0.6783541200000001,0.013215154158310224,0.5071130509950159,218.60556,130252.32,256.32098,13.209701,-0.42601854,-0.09227047,-0.063213825,127,118.82766425675092,4,3,1,41.385326
31.149876,3093.0845,11.159789986685038,31.149876648890153,1.3629091,0.610209,2.228227963373176,0.8991616709338436,214.2207225,-18158.994,-55.84702,-11.024998,-2.7273297,0.012618491,0.019663772,0,96.20828708639499,4,1,1,20.91193
40.15238,6135.6836,13.528650802686803,40.152378502378674,0.260821035,0.19317323,0.23906847207610396,0.038878610776281256,212.22838,10432.154,16.228176,-3.1924686,-1.2150898,-0.097920164,-0.008050861,-1,149.09668893998355,3,1,1,68.2107
39.630817,4825.4287,12.78546325512855,39.63081579547123,1.4234889,0.72560033,0.0170495956377993,0.5000463151836063,216.65846499999998,155920.05,308.6748,14.699979,-0.18675238,-0.08310624,-0.06914826,127,118.76277801649915,4,3,1,42.22702
21.719563,2409.6016,11.481974345762854,21.719561702575163,1.2005047000000002,1.15941282,0.02619538347034158,1.1757334665341381,214.573775,-9947.581,-39.25192,-11.024998,-2.2787716,0.022064362,0.003105843,127,106.05844839533225,4,2,1,22.586155
16.950724,3924.0125,13.238857891366818,16.95072630106355,1.0899801,1.0009909,0.01765919066053971,0.013082367337591503,218.59805999999998,6354.9604,15.46905,-5.6665163,1.2723944,-0.000972581,0.044714123,127,218.59912168445126,2,4,1,135.93784
29.812027,4530.606,5.205651640426034,29.812026220635495,0.27409123999999996,0.11875547,0.002765625775829586,0.11421751991983453,210.97321499999998,83407.24,175.69234,14.346477,0.57634455,0.000658873,0.012399381,127,147.04018012187254,3,0,1,126.09679
37.234066,4407.197,4.853820303008654,37.234068294648026,0.060228979,0.1057406105,0.0032165761167056188,0.15028675700095068,211.022295,253353.48,549.1737,14.699979,1.6987076,0.04873693,0.006373712,78,115.26885474330668,4,4,1,50.185875
44.46793,6942.5093,3.7113315278255063,44.46793180677227,0.014364595,0.16663186,0.0038506952951477477,0.23368824958967468,211.11446500000002,330832.62,454.79633,14.699979,2.5340583,-0.004428854,-0.0201929,3,152.6902434309193,3,2,1,145.98067
60.363213,7101.1694,2.3293511950313097,60.363212137203625,0.012805905999999999,0.09624353499999999,0.002307538245527038,0.1352182357044733,210.5240225,330384.62,444.08102,14.699979,-2.2910588,-0.004458727,-0.005841868,0,115.72355899942853,4,0,1,160.28926
50.294697,5694.6704,15.367105731947648,50.294698581818636,0.29335966,0.21998663,0.4147141345266868,0.31254954108367733,209.60567999999998,-70876.5,-118.7309,-10.56919,0.8209507,0.018975154,-0.018493129,0,111.01869653309386,4,2,1,131.87201
45.191757,7093.534,8.344346618994273,45.19175861768969,0.07995282249999999,0.2719507,0.0054837154597803485,0.27754519296893704,209.686265,330442.84,444.9123,14.699979,2.5901036,-0.00760904,-0.002975197,0,153.56709639774039,3,1,1,148.67923
35.96853,4102.55,7.715454239179779,35.96852746619126,0.480240095,0.45232093,0.030723406973102448,0.2209674148627575,213.25118750000001,-34343.496,-79.973625,-11.024998,0.9682609,0.007682836,-0.027016241,-24,110.97411771579773,4,4,1,116.97907
30.610834,7293.184,6.392998027330265,30.61083468005153,0.159972805,0.36632186499999997,0.025493151908942215,0.5177823847882803,211.11782,328949.84,431.1069,14.699979,1.6647028,0.057283673,0.004441376,127,230.7178608447977,2,2,1,103.771355
23.195038,3530.6458,8.473702535986625,23.19503714626186,0.15209096,0.45862493,0.08442258345844941,0.7103565730060238,218.34135750000002,-24615.984,-66.39545,-11.018278,-0.13008726,0.014003136,-0.007640362,127,145.9243750722772,3,2,1,136.52211
47.016895,5405.507,12.74359033095616,47.01689649143597,1.05271528,0.57495913,0.027992666796583295,0.158960756766787,213.76770000000002,-51473.195,-90.9067,-5.5491905,-0.7880443,-0.08186491,-0.0630321,2,112.57510507499495,4,2,1,40.144894
47.22961,5625.5527,13.503496137266744,47.229614901431816,1.4782267999999998,0.98007255,0.014874697272620576,0.2999667866997653,214.1756875,162746.69,276.32874,-4.0706663,-1.4805421,0.005901333,0.004266678,127,116.64105722604847,4,4,1,4.1181564
38.871586,5524.0073,6.454402079744016,38.87158643064005,0.11116414299999999,0.31715545,0.0026447288940173053,0.4432516719690745,212.95739500000002,-65639.58,-113.923515,-11.024998,0.7666384,0.021486118,-0.014922714,82,138.54496031334193,3,0,1,135.85533
28.880184,6870.213,6.219176251879478,28.880185018215663,0.012009051,0.2687357,0.008739740571085905,0.4295322607424267,217.5347875,330804.06,460.02332,14.699979,2.3737297,0.000333492,0.002282428,0,229.92539135635843,2,3,1,144.6627
42.864883,6959.42,6.104853977977725,42.86488473975895,0.130030205,0.44344521000000003,0.008726901941470983,0.604949656087,210.26436750000002,315350.56,432.98978,14.699979,1.011574,0.004485656,-0.035064254,0,158.65584321745484,3,1,1,128.94545
